city,area_sqft,bedrooms,bathrooms,age_years,parking,furnishing,floor,total_floors,gym,swimming_pool,security,near_school,near_hospital,near_market,price
Pune,1583.2426362885735,3,2,2.0888738657700747,0,Unfurnished,Mid,4,0,0,1,0,0,0,14040564.0
Lucknow,400.0,3,1,4.198508894018472,0,Semi Furnished,Top,1,0,0,1,1,0,0,2670868.0
Lucknow,1160.5098267684339,4,2,0.45066167090215564,2,Unfurnished,Ground,3,0,0,1,1,0,1,8084045.0
Delhi,1259.7127933987626,4,3,60.943322333034594,2,Fully Furnished,Top,2,1,0,1,0,1,1,18888773.0
Delhi,562.5539679762335,3,2,4.040524753781638,1,Unfurnished,Ground,3,1,0,1,0,1,1,6652722.0
Mumbai,921.2921048922832,4,3,6.861484733230611,0,Unfurnished,Mid,2,0,0,1,0,0,1,13557580.0
Lucknow,509.58176453868293,3,2,4.822232657620045,1,Fully Furnished,Top,1,0,0,1,1,1,1,4451530.0
Ahmedabad,1480.8380821513138,2,2,0.6091056213245631,1,Fully Furnished,Ground,1,0,1,2,1,1,0,16896458.0
Ahmedabad,1909.3829854244082,3,2,4.542098286486407,2,Semi Furnished,Top,2,0,0,2,0,0,1,16276032.0
Mumbai,2053.387259312164,3,3,1.5503656094003644,1,Fully Furnished,Mid,3,0,0,0,0,0,0,31655517.125
Ahmedabad,1707.3922310396206,2,2,7.520138119572636,0,Unfurnished,Top,3,0,0,0,0,1,0,11522942.0
Jaipur,1018.3018294007155,3,1,51.0889818447546,1,Semi Furnished,Ground,2,0,0,2,0,1,1,5425718.0
Chennai,533.9674207400202,3,3,17.972961313275817,0,Fully Furnished,Ground,2,0,1,0,0,0,1,4884781.0
Mumbai,621.565650299249,4,1,18.408661889089153,0,Unfurnished,Top,3,0,0,0,0,0,0,6976459.0
Mumbai,865.5087113727508,1,3,9.054422420531386,1,Fully Furnished,Top,5,1,0,1,0,0,1,14843956.0
Bangalore,1055.5701509821627,3,1,25.0142712172441,0,Unfurnished,Ground,3,1,0,1,1,0,1,8168602.0
Kolkata,1420.1257510042067,3,3,35.83590379311616,2,Fully Furnished,Ground,3,1,0,1,1,1,1,11530386.0
Kolkata,992.9178909365158,4,2,48.875951118859575,1,Semi Furnished,Top,3,0,0,0,1,1,1,7124954.0
Jaipur,1669.4879468341308,3,2,1.5635875481230923,1,Semi Furnished,Mid,2,0,0,0,0,1,0,12826302.0
Lucknow,1383.8632486002637,4,1,31.75951999868751,1,Semi Furnished,Ground,4,1,1,2,1,0,1,8056191.0
Delhi,1505.2728558705128,4,2,3.824988028462168,2,Unfurnished,Mid,1,0,0,0,1,0,1,20076430.0
Delhi,2070.1252763356024,3,3,7.5942120566307665,2,Semi Furnished,Mid,4,0,0,2,0,0,0,27243973.0
Hyderabad,909.884132899815,2,3,6.357732756109831,2,Semi Furnished,Mid,5,0,0,1,0,0,0,8086220.0
Jaipur,1709.3522891461841,4,2,16.864954501006327,1,Semi Furnished,Ground,2,1,0,0,0,0,1,11251696.0
Mumbai,1493.0133857619633,3,2,13.666732456760705,0,Unfurnished,Mid,2,0,0,2,1,1,1,21523758.0
Jaipur,1333.2568595151524,3,1,1.7329284450712608,1,Semi Furnished,Top,3,1,0,0,1,1,1,10966054.0
Jaipur,1942.6281604329802,3,3,22.905613257029703,1,Semi Furnished,Top,4,0,0,0,1,0,0,12303729.0
Jaipur,1939.5070772785036,4,2,8.687782268665863,0,Fully Furnished,Top,4,0,1,2,1,0,1,20737373.0
Kolkata,1026.754602005786,5,1,0.03336472928623474,0,Unfurnished,Ground,3,1,0,2,0,1,1,9045180.0
Jaipur,1408.919708071038,5,3,8.029420133527863,1,Semi Furnished,Mid,2,0,0,1,1,0,1,11058499.0
Chennai,1640.6058412920327,3,2,10.895335213404946,1,Semi Furnished,Top,3,0,0,0,0,0,1,15213005.0
Delhi,1363.4966259887078,3,1,1.070421126134141,1,Semi Furnished,Mid,4,0,0,0,1,0,0,17635353.0
Hyderabad,1792.510666143899,2,1,2.457831322780064,1,Fully Furnished,Ground,4,0,0,0,1,1,1,17254807.0
Chennai,1640.5960089551377,2,3,75.70677765285521,1,Fully Furnished,Top,1,0,0,1,1,0,0,14439328.0
Hyderabad,2416.2806201780063,4,1,30.74188151048815,1,Fully Furnished,Ground,3,0,0,2,0,1,0,18931558.0
Bangalore,734.8604320351062,3,3,2.146410297497469,1,Semi Furnished,Mid,5,1,0,0,0,0,1,10275980.0
Hyderabad,1438.7820051263013,3,2,13.023562576798165,2,Unfurnished,Mid,4,0,0,0,0,1,0,10655293.0
Delhi,1045.7487442439044,3,1,7.152240851615065,0,Unfurnished,Ground,1,1,0,1,1,0,0,10403361.0
Delhi,1802.0537277195222,4,3,11.770400284182333,1,Fully Furnished,Mid,2,1,1,2,0,0,0,31655517.125
Jaipur,691.4140549772277,2,2,9.538328727156058,1,Semi Furnished,Mid,3,1,0,1,0,0,1,5064793.0
Pune,1673.1563551124432,3,2,0.740200354174978,0,Unfurnished,Mid,3,1,0,1,1,0,1,16494893.0
Bangalore,1184.9757843258294,3,2,5.684253325983296,1,Semi Furnished,Mid,3,0,0,1,1,0,1,14867725.0
Mumbai,1132.919066939493,3,1,2.011897808509792,1,Fully Furnished,Ground,1,0,0,2,1,1,1,18292414.0
Ahmedabad,776.7508982296564,5,3,10.069848735401303,1,Fully Furnished,Ground,3,0,1,2,0,0,1,8078945.0
Hyderabad,1267.462026899497,4,2,35.67850783848294,0,Semi Furnished,Mid,4,0,0,2,0,1,1,9139034.0
Pune,2042.250265145463,3,3,80.0,1,Unfurnished,Mid,2,0,0,1,1,0,1,14935319.0
Jaipur,1487.4056582352603,4,2,43.303993653014956,0,Unfurnished,Ground,1,1,0,0,1,1,1,8957875.0
Kolkata,1813.8402089372373,3,3,63.709420668175106,1,Fully Furnished,Top,4,0,0,1,0,0,0,13580828.0
Mumbai,2332.3209109831378,4,3,0.23045603796068828,1,Semi Furnished,Top,3,1,0,1,1,1,1,31655517.125
Lucknow,1631.8777924112878,2,2,19.60930780136617,2,Fully Furnished,Mid,4,0,0,1,0,0,1,10810223.0
Pune,1220.6002139688296,4,2,4.781375872733071,0,Unfurnished,Mid,3,0,0,0,1,0,0,10908079.0
Kolkata,1733.6261075913949,3,2,30.106029400862028,1,Semi Furnished,Top,3,1,0,1,0,0,0,12951836.0
Bangalore,1227.851926842854,2,1,25.20865177059159,1,Semi Furnished,Top,5,0,0,0,1,0,0,11183339.0
Jaipur,1247.7886583514153,2,3,8.266242080964798,1,Fully Furnished,Ground,4,1,0,0,0,0,1,9502967.0
Mumbai,740.0536001905076,3,3,9.615742387196475,1,Semi Furnished,Mid,3,0,0,0,1,1,0,11008574.0
Mumbai,1963.1287455421962,3,2,4.620142608977867,1,Semi Furnished,Ground,4,1,0,1,0,0,0,27367621.0
Mumbai,1306.9987121752804,2,3,5.112109050359142,1,Semi Furnished,Mid,5,0,0,0,1,1,1,19455709.0
Bangalore,1591.049122907931,3,2,59.58808311276226,0,Semi Furnished,Mid,2,1,0,0,1,0,1,13810711.0
Hyderabad,982.0190356966802,3,2,32.95350941767639,2,Fully Furnished,Ground,4,0,0,1,0,0,1,7402772.0
Lucknow,1717.9738148577362,3,1,3.195466055760523,1,Semi Furnished,Mid,1,1,1,2,0,0,0,12988290.0
Bangalore,1119.029380932458,4,2,4.834613695903408,0,Unfurnished,Top,2,1,0,2,1,0,1,15073142.0
Ahmedabad,1429.1456391490879,2,2,1.7252379002382119,1,Fully Furnished,Top,2,1,1,0,1,1,0,14849077.0
Lucknow,1938.9130156195629,3,1,67.47272197123343,1,Semi Furnished,Ground,2,0,0,1,1,0,1,8475538.0
Delhi,1895.3796561162646,4,2,35.66122189173845,0,Fully Furnished,Top,3,1,0,1,1,0,0,25046661.0
Jaipur,1488.9849637415298,3,4,12.047711871661203,2,Unfurnished,Mid,3,1,0,1,1,1,0,10878795.0
Bangalore,615.9344836466408,3,3,17.70839094583493,1,Semi Furnished,Ground,4,0,0,0,1,0,1,6679015.0
Kolkata,2858.437593116735,3,2,20.67173484682234,1,Semi Furnished,Top,2,0,0,1,0,0,1,22668930.0
Lucknow,2372.929485136568,3,2,3.4187845473274736,1,Fully Furnished,Ground,3,0,0,1,1,0,0,16234424.0
Ahmedabad,1861.3374124441493,3,1,40.923718013742054,0,Fully Furnished,Ground,3,0,0,1,1,0,0,10335067.0
Delhi,1123.3981092045146,4,4,11.221741391321057,2,Fully Furnished,Mid,3,1,0,0,0,0,1,20423643.0
Hyderabad,1443.2039191490176,1,3,1.4551246809838765,1,Fully Furnished,Mid,3,1,0,1,1,0,1,16373956.0
Kolkata,1228.2897851117416,4,3,7.589626295829389,1,Fully Furnished,Ground,3,0,0,1,1,0,0,11309734.0
Lucknow,2131.927969548194,2,1,13.80623426959524,1,Semi Furnished,Top,3,0,0,0,0,1,1,13106581.0
Jaipur,1631.251445425917,3,2,6.527036211289457,2,Fully Furnished,Top,4,0,0,0,1,0,0,14462416.0
Kolkata,1107.9180708200836,4,2,18.01986610401664,1,Fully Furnished,Ground,4,0,0,0,1,0,1,9709817.0
Delhi,1264.6224504376091,4,2,32.062414605357034,0,Fully Furnished,Ground,3,0,0,0,0,1,0,13167975.0
Kolkata,2060.5940712849524,4,2,22.16904934871469,1,Unfurnished,Top,2,0,0,1,1,1,0,14673373.0
Chennai,2300.0489234102392,4,3,15.435930432350485,1,Semi Furnished,Mid,5,1,0,0,0,0,1,22549821.0
Pune,2264.165781743123,3,2,10.766439495317247,2,Fully Furnished,Ground,3,0,0,1,1,0,0,22772383.0
Hyderabad,1878.5160325269887,3,1,4.404767497255892,1,Semi Furnished,Mid,4,1,0,1,0,0,1,17520814.0
Delhi,1373.6875655986817,3,3,9.103060640641122,1,Semi Furnished,Mid,1,1,0,0,0,0,0,17622338.0
Kolkata,400.0,3,2,5.199870088218153,0,Fully Furnished,Mid,4,0,0,1,1,0,1,3750070.0
Pune,1648.5800119041107,3,3,40.77682287983185,1,Unfurnished,Ground,3,1,0,1,1,1,1,11741869.0
Pune,1499.0856205779498,3,2,35.677607542452506,1,Unfurnished,Top,3,0,1,0,1,1,0,12454265.0
Kolkata,1569.9910481606769,3,2,2.5409564783202123,0,Semi Furnished,Mid,2,1,0,1,1,1,1,14399700.0
Jaipur,1526.948673516603,4,1,25.941933030634118,1,Fully Furnished,Mid,3,1,1,1,0,1,1,11794479.0
Chennai,836.8689190254215,3,4,18.206039476612606,2,Semi Furnished,Top,1,0,0,0,0,0,1,7932276.0
Bangalore,1778.7042784255927,1,2,55.460765111602555,0,Semi Furnished,Top,1,0,0,1,1,1,1,15139461.0
Chennai,1816.1081570159251,3,2,9.334923581126,1,Fully Furnished,Mid,2,1,0,0,0,0,1,20969762.0
Kolkata,1841.1693910298295,3,1,19.21142396084092,0,Unfurnished,Mid,1,1,0,1,0,1,0,12424965.0
Hyderabad,1973.2885017866934,3,3,10.943555464757313,0,Semi Furnished,Ground,2,0,0,0,0,0,0,15008798.0
Bangalore,1802.0258224608115,4,2,1.078894099577835,0,Semi Furnished,Ground,3,0,0,0,1,0,0,22106983.0
Delhi,1294.9852942305447,3,4,0.7184033020285795,1,Semi Furnished,Top,4,1,1,0,1,0,1,22666830.0
Chennai,1464.5815760419548,4,4,1.95353432268255,2,Semi Furnished,Mid,2,1,0,0,0,1,1,19355057.0
Kolkata,1545.5624336266885,3,3,5.26872535765055,1,Semi Furnished,Top,4,1,0,0,1,1,1,16290419.0
Chennai,1553.8497245533092,3,4,4.498609571382993,0,Fully Furnished,Top,3,1,0,2,1,1,0,22697706.0
Bangalore,1999.108827985865,4,1,19.54732383509067,0,Unfurnished,Ground,5,0,0,2,0,0,1,17235866.0
Ahmedabad,1821.8343765112454,1,2,18.87763526533819,1,Fully Furnished,Top,2,1,0,1,0,1,0,14773808.0
Lucknow,2538.6717197849766,1,2,53.3123859503392,0,Fully Furnished,Ground,1,0,0,1,1,1,1,12031394.0
Chennai,2603.234489942336,2,1,5.5744538332244105,1,Fully Furnished,Ground,4,1,0,0,0,1,1,27364876.0
Delhi,1539.8247913069624,3,4,41.81908923017367,0,Unfurnished,Top,2,0,0,1,1,0,0,15895645.0
Delhi,400.0,2,1,14.234169344194012,0,Fully Furnished,Ground,3,1,0,2,0,0,1,4662929.0
Mumbai,2118.416233063633,5,3,10.257125182853526,1,Unfurnished,Mid,3,0,0,1,0,1,0,28855524.0
Chennai,1229.8118305064727,3,3,16.53213969741033,1,Semi Furnished,Mid,4,1,0,1,0,0,0,10821277.0
Lucknow,1099.2580390844967,3,2,18.198001254730272,0,Semi Furnished,Ground,1,0,0,1,1,0,1,5888380.0
Jaipur,1300.7773625053167,2,1,2.829846214979893,0,Fully Furnished,Mid,3,1,1,0,1,1,0,11767672.0
Pune,1276.6784765926968,3,1,20.897700407126244,1,Semi Furnished,Top,3,0,0,2,1,1,1,12436203.0
Lucknow,1806.1349050526962,3,2,19.37418919744306,1,Semi Furnished,Ground,2,0,0,0,1,1,1,8897909.0
Pune,720.2821104368873,3,2,80.0,2,Semi Furnished,Mid,2,1,0,1,1,0,0,6212095.0
Pune,961.1396271041992,3,2,36.44737858571713,0,Fully Furnished,Ground,4,1,1,0,1,0,0,9279715.0
Ahmedabad,1671.5792770987082,3,2,17.31156887828603,0,Fully Furnished,Top,2,1,0,1,0,0,1,14869371.0
Mumbai,1811.472015206654,3,3,18.690877344958732,1,Unfurnished,Ground,3,0,1,1,1,1,1,23888637.0
Lucknow,1820.770822468006,4,2,43.77757841549972,0,Semi Furnished,Mid,3,0,0,0,1,1,1,8910870.0
Lucknow,1106.4818605333505,2,2,51.249968608034976,1,Fully Furnished,Top,3,1,0,1,1,1,0,7156766.0
Ahmedabad,1010.86717536688,4,3,26.31393798824807,0,Semi Furnished,Top,3,1,0,1,1,0,1,7841306.0
Chennai,1246.6825831060403,3,2,21.876109349373728,2,Fully Furnished,Top,3,0,0,1,0,0,0,12308501.0
Chennai,1619.9363761423626,3,2,1.7710444200832545,1,Unfurnished,Top,2,0,0,1,0,0,1,14503832.0
Chennai,2242.7386846362747,3,3,26.607808262744545,1,Unfurnished,Top,3,1,0,2,1,1,1,19535612.0
Hyderabad,476.2814071146248,3,3,4.379281208733559,2,Fully Furnished,Top,3,1,0,1,1,0,0,6155340.0
Pune,1389.6356215208168,2,3,12.444276361090232,2,Semi Furnished,Top,2,0,0,1,1,1,0,14559208.0
Hyderabad,833.6607794873981,5,1,7.797301052889536,1,Unfurnished,Mid,4,1,0,1,0,0,1,7773780.0
Mumbai,673.8786613232552,3,2,6.360714749795005,2,Fully Furnished,Ground,4,0,0,2,1,0,1,11854301.0
Ahmedabad,1983.4783226724082,5,1,5.571391020175293,1,Unfurnished,Ground,3,0,0,1,1,0,1,14294593.0
Lucknow,1772.3122872496692,3,4,29.00956899878287,0,Fully Furnished,Ground,3,0,0,2,1,1,1,11627439.0
Pune,1724.716757973631,2,2,21.98890513686067,2,Unfurnished,Top,2,0,0,0,0,0,0,13000087.0
Hyderabad,1960.5129198654968,3,2,11.117700174551487,1,Fully Furnished,Ground,4,0,0,1,1,1,1,18232793.0
Hyderabad,1260.140551616932,1,3,16.381127756506068,0,Unfurnished,Ground,1,0,0,0,1,0,1,7692923.0
Kolkata,1283.6812418332358,4,4,62.5308019629957,1,Unfurnished,Ground,2,1,0,0,0,0,0,8000802.0
Hyderabad,2592.865308361287,4,3,7.600888979425462,1,Fully Furnished,Top,4,0,0,2,0,0,0,30295091.0
Jaipur,1376.7144728702128,3,1,12.014347247746151,2,Unfurnished,Top,3,0,0,1,1,0,1,8426511.0
Lucknow,1867.5660565270455,3,2,11.438221362002125,2,Fully Furnished,Ground,3,0,0,1,0,1,0,13534598.0
Jaipur,1503.1907704816574,3,3,41.226609757459805,1,Unfurnished,Mid,4,1,0,1,0,1,1,8800682.0
Lucknow,575.8707349607924,5,2,6.497842935976128,0,Unfurnished,Mid,5,1,1,1,1,0,1,4196069.0
Ahmedabad,477.6854980993659,2,1,64.30592977409513,1,Fully Furnished,Ground,2,0,0,1,0,1,1,2919253.0
Lucknow,1210.5078900300477,4,2,5.451126594854158,1,Unfurnished,Ground,1,0,0,2,0,1,1,8276811.0
Jaipur,2028.0506258349947,3,3,1.7295977924265464,0,Unfurnished,Mid,3,0,0,2,1,0,0,13464685.0
Lucknow,1894.1458283180018,5,2,3.186273083522984,0,Fully Furnished,Ground,2,1,1,1,0,1,1,16336876.0
Ahmedabad,1957.0385821120167,4,3,8.332673550513721,0,Semi Furnished,Ground,3,0,0,0,0,0,1,14539991.0
Ahmedabad,1006.4769105318423,5,2,15.73687621948533,1,Fully Furnished,Top,3,0,0,1,1,1,0,9557731.0
Mumbai,2307.936245061157,3,2,10.910652412229881,0,Semi Furnished,Top,3,0,0,1,1,0,0,31655517.125
Lucknow,1017.5533499068079,2,4,7.080762087023611,0,Unfurnished,Mid,2,0,0,1,0,0,1,5791895.0
Kolkata,1606.4121993349843,3,2,12.384184808882965,1,Semi Furnished,Ground,2,1,0,0,0,0,1,12368797.0
Chennai,1494.8238550461317,3,3,27.377225769331673,0,Semi Furnished,Top,2,0,0,1,1,1,1,12634446.0
Delhi,1413.0630898427069,4,2,27.388839089604854,0,Fully Furnished,Ground,2,1,0,2,1,1,0,18600272.0
Ahmedabad,2169.2960691478033,1,1,19.43188841024866,2,Semi Furnished,Top,3,0,0,0,1,0,0,15271515.0
Bangalore,1147.4447399170197,3,3,45.68911599917867,1,Semi Furnished,Mid,2,0,0,0,1,1,0,10696492.0
Chennai,825.197372144036,2,3,13.381461491892066,1,Unfurnished,Ground,2,0,1,2,0,1,0,7845182.0
Pune,1509.9977431032096,4,3,0.11530661859076523,2,Fully Furnished,Mid,3,0,1,2,1,1,0,26860803.0
Lucknow,1300.0866328567367,2,2,5.157007633093845,0,Fully Furnished,Top,5,1,0,1,1,1,0,10920986.0
Jaipur,2858.437593116735,3,2,5.967425983157165,1,Semi Furnished,Top,1,0,0,0,1,0,1,25426295.0
Delhi,1838.2537382199876,2,3,11.88874845208197,1,Unfurnished,Top,2,0,0,2,1,0,0,23222734.0
Bangalore,1295.3297123906877,3,2,35.290734068946975,1,Fully Furnished,Top,2,0,0,1,1,1,0,13598358.0
Chennai,971.9442154064567,4,3,27.313032707582277,1,Unfurnished,Ground,5,0,0,1,1,1,1,7282859.0
Lucknow,559.8557947156077,2,2,3.962862187379287,0,Semi Furnished,Top,3,0,0,1,0,0,1,3852422.0
Mumbai,987.3904571312835,2,3,10.990494592476585,1,Semi Furnished,Ground,3,0,0,1,0,1,1,13175738.0
Pune,1557.470885879566,2,3,16.144631666185727,1,Fully Furnished,Mid,2,1,0,1,0,0,0,15143747.0
Delhi,2213.6643257973847,3,1,65.74425467435876,1,Semi Furnished,Top,1,1,0,2,1,0,1,26154982.0
Kolkata,2060.8445711939594,3,3,0.47704834517497624,1,Unfurnished,Ground,2,1,0,1,0,1,0,18826111.0
Mumbai,1614.5474158231898,3,2,9.350883862190155,1,Unfurnished,Ground,3,1,0,1,1,0,1,22709601.0
Bangalore,1338.4161671487577,3,2,66.47916556443573,1,Semi Furnished,Ground,3,0,0,1,0,1,1,11570061.0
Delhi,1634.4061782060771,2,2,56.71873546452572,1,Semi Furnished,Top,4,0,0,0,0,1,1,16429189.0
Mumbai,1240.681001257712,4,2,6.02343764337415,0,Unfurnished,Ground,4,1,0,1,0,1,0,16725349.0
Pune,2359.1819978819376,4,2,0.0002510459698121068,2,Semi Furnished,Mid,2,0,0,0,1,0,0,28219984.0
Kolkata,1405.40490936246,5,2,13.254978614789751,2,Semi Furnished,Mid,1,1,0,0,1,1,1,14173986.0
Mumbai,1456.8310708766367,4,2,30.25419731920524,2,Semi Furnished,Mid,4,1,0,0,1,0,1,19078553.0
Hyderabad,400.0,3,1,5.880029705454191,1,Unfurnished,Mid,3,1,0,0,0,0,0,3103148.0
Kolkata,1402.282576738618,3,2,40.83298952544678,1,Semi Furnished,Mid,4,0,0,1,0,0,1,9003934.0
Bangalore,1918.2420689824705,3,2,6.0677881691482884,2,Unfurnished,Ground,4,1,1,0,1,1,0,24111650.0
Pune,966.1387114807274,2,3,14.131873172940207,0,Fully Furnished,Top,2,0,1,1,1,0,0,12344539.0
Lucknow,1124.6398327535935,3,2,19.204498648433535,2,Semi Furnished,Mid,3,0,0,1,1,0,1,6386190.0
Jaipur,1896.3555088668322,2,3,6.356324997657799,0,Semi Furnished,Top,1,1,0,1,1,1,1,16113079.0
Jaipur,761.6713882409733,3,2,6.512747556605402,0,Semi Furnished,Top,3,0,1,1,1,0,1,6172300.0
Jaipur,2028.9005037709592,3,1,9.523027757548777,0,Fully Furnished,Ground,4,0,0,1,0,0,0,14176357.0
Delhi,1233.928054913449,2,2,27.047472486619586,1,Semi Furnished,Top,3,0,0,1,1,0,1,13983216.0
Bangalore,1305.7158897543986,1,3,1.5945939003666598,0,Unfurnished,Mid,1,0,1,1,0,1,1,15632319.0
Pune,938.060797437203,3,2,14.973879404811418,0,Semi Furnished,Top,2,1,1,0,1,0,1,11001229.0
Kolkata,1689.0231302139416,1,3,16.9677107528911,1,Unfurnished,Ground,1,1,0,2,1,0,0,11766014.0
Delhi,2729.93599251469,5,2,12.242363475064048,1,Unfurnished,Top,3,1,0,2,1,1,0,31655517.125
Bangalore,1890.748619730316,2,1,41.19525271979843,2,Unfurnished,Top,3,1,0,1,1,0,1,17693921.0
Lucknow,1067.8573690297321,3,3,13.819199245269719,0,Unfurnished,Top,3,0,0,2,0,1,0,5983227.0
Hyderabad,2067.810292745738,3,2,15.10048516664996,0,Unfurnished,Mid,3,1,0,0,0,1,0,14922601.0
Pune,1341.6602270328754,2,2,13.735364723211648,0,Semi Furnished,Mid,2,0,0,0,0,0,0,10415715.0
Jaipur,2187.2424907137797,3,2,19.20302554927455,1,Semi Furnished,Top,2,0,0,2,1,1,1,15349530.0
Mumbai,1903.3382010821815,3,2,2.1824879548925824,1,Semi Furnished,Top,1,1,0,0,1,0,1,31655517.125
Pune,400.0,4,2,33.703896213865434,1,Unfurnished,Ground,4,0,0,1,1,1,1,2992662.0
Ahmedabad,997.9601835224862,3,1,0.6513231018055473,1,Fully Furnished,Top,2,0,0,0,1,0,1,9878330.0
Bangalore,1972.192611417695,2,4,15.355799122652158,2,Semi Furnished,Ground,2,0,0,1,1,0,1,21839844.0
Chennai,1575.8286360725087,2,3,14.33642850175162,0,Semi Furnished,Ground,1,0,0,0,0,0,0,10810498.0
Lucknow,988.1220261460746,3,2,3.5002025630105873,1,Semi Furnished,Top,2,1,0,0,0,0,0,7384803.0
Hyderabad,1183.2052422530937,2,2,0.6234429972865233,0,Unfurnished,Mid,4,1,0,1,0,0,0,8975873.0
Lucknow,546.8816899553098,3,1,2.2420442451490343,0,Semi Furnished,Ground,2,0,0,0,0,0,0,3042815.0
Pune,1455.813356236802,5,3,4.755057873754291,0,Unfurnished,Mid,3,1,0,1,0,1,1,15117043.0
Chennai,2605.344863007882,3,2,32.06950107875501,1,Semi Furnished,Mid,5,1,0,1,1,0,0,20011230.0
Ahmedabad,1902.4666953661629,3,2,29.041488942523795,1,Semi Furnished,Mid,4,0,0,1,0,0,0,9818357.0
Kolkata,2595.2085005942117,3,2,0.989782701148673,2,Unfurnished,Ground,2,1,0,1,0,0,1,22287204.0
Mumbai,1941.1985448949902,4,2,5.121897981471442,2,Unfurnished,Ground,2,0,0,1,0,1,1,27835693.0
Chennai,2013.7396716763458,2,3,33.016172732763025,1,Semi Furnished,Top,4,1,0,0,1,0,1,16666899.0
Bangalore,2487.039343872512,4,2,4.050756971213964,0,Unfurnished,Ground,5,1,0,1,1,0,1,27302410.0
Jaipur,1688.6316296711132,4,3,80.0,2,Unfurnished,Top,3,0,0,1,1,0,1,10962135.0
Ahmedabad,1406.3863392465598,2,2,4.452662665449451,1,Unfurnished,Ground,2,1,0,0,0,0,0,8944726.0
Mumbai,2016.3287583110061,3,2,20.155033491618582,1,Fully Furnished,Mid,2,0,1,1,1,1,1,30768689.0
Hyderabad,2226.9201185609427,5,1,8.095043942852245,0,Unfurnished,Ground,3,1,1,1,0,1,1,18076659.0
Jaipur,1260.0176786438956,4,2,2.1969839488663303,1,Unfurnished,Mid,2,1,0,0,0,1,1,10098718.0
Pune,1139.2154588299854,2,2,4.418679252156187,2,Fully Furnished,Ground,2,0,0,0,1,0,1,12915574.0
Chennai,1569.42801621544,3,2,16.864402084046837,1,Unfurnished,Mid,3,0,0,0,1,1,0,12752650.0
Mumbai,1915.749433465831,3,2,6.165980450398267,1,Fully Furnished,Top,3,1,0,2,0,0,1,31655517.125
Delhi,1899.0455243307808,3,3,13.89997364330862,1,Semi Furnished,Mid,2,1,0,2,1,0,0,26558763.0
Kolkata,787.9161999062004,3,1,3.4512204877569252,1,Semi Furnished,Mid,2,1,0,2,0,1,1,7573282.0
Kolkata,2455.8030335316607,2,2,8.928904091933973,2,Semi Furnished,Ground,1,1,0,1,0,0,0,19226705.0
Ahmedabad,1179.4175353015748,3,3,10.769154721885807,1,Unfurnished,Top,2,0,0,2,1,0,0,9681099.0
Hyderabad,1367.4675015557102,4,2,7.9854527009059115,2,Fully Furnished,Ground,4,1,0,1,1,1,0,14770324.0
Ahmedabad,1048.6728200060902,4,3,3.3081670655957516,2,Semi Furnished,Mid,4,1,0,0,0,1,0,10487228.0
Delhi,2849.1644179685436,2,3,9.286007746007492,1,Unfurnished,Mid,3,0,0,0,0,1,1,31655517.125
Bangalore,1621.0353351439837,4,2,17.708755152037664,0,Semi Furnished,Mid,3,1,0,0,0,0,1,16514533.0
Hyderabad,1074.5124596592175,2,2,50.24573243394257,0,Semi Furnished,Mid,3,1,0,1,0,0,1,6529129.0
Lucknow,1931.961774981223,3,3,23.375585118656538,2,Semi Furnished,Ground,4,0,0,0,1,0,0,11420006.0
Bangalore,1884.5678896550166,4,3,2.6415824163844843,1,Unfurnished,Ground,2,1,0,1,0,0,0,22925627.0
Hyderabad,1406.1364882100581,3,1,4.776281628140507,1,Fully Furnished,Ground,2,0,0,2,0,1,1,14017032.0
Hyderabad,1920.3033563916915,2,2,1.23156076285184,1,Fully Furnished,Top,1,1,1,2,1,0,0,23742326.0
Delhi,1087.3540195845678,2,2,2.1866542381732006,0,Fully Furnished,Mid,2,1,0,1,0,1,1,16438306.0
Pune,1253.5408625253738,3,3,4.328896607137292,1,Fully Furnished,Top,2,1,0,0,1,1,1,18803044.0
Delhi,494.8916727169685,4,2,3.3382940045392226,1,Unfurnished,Mid,4,0,0,1,1,1,1,6373270.0
Hyderabad,838.0244578902186,5,3,3.6052851037053335,0,Unfurnished,Ground,2,1,0,2,0,1,1,8226574.0
Mumbai,2403.815402835343,4,4,3.9354833825910474,1,Unfurnished,Mid,3,0,0,0,0,1,0,31655517.125
Bangalore,2320.7143138611573,4,3,5.364674695146984,1,Semi Furnished,Mid,4,1,0,0,1,1,1,31655517.125
Delhi,1532.8943243244812,3,3,2.01302114628257,1,Fully Furnished,Top,3,1,1,2,0,0,1,31655517.125
Pune,2331.465723594919,4,2,4.8825241790335365,1,Unfurnished,Ground,2,0,0,1,1,1,0,21706187.0
Chennai,1419.9627566958477,2,1,17.491093834853313,2,Semi Furnished,Mid,1,0,0,2,1,0,1,12003753.0
Ahmedabad,1378.294848716046,4,2,4.045687447334917,1,Semi Furnished,Ground,4,1,0,1,1,1,0,11953214.0
Hyderabad,1528.255324232778,3,2,2.8282051192231292,1,Semi Furnished,Top,3,0,0,0,0,0,1,14960105.0
Lucknow,1437.5392023382174,4,2,1.0514396231922118,1,Fully Furnished,Mid,3,0,0,1,1,0,1,13136594.0
Chennai,1392.4018382199097,2,3,10.396352318700512,2,Unfurnished,Mid,2,1,0,0,1,1,1,12392460.0
